,artist_id,name,track_id,track_name,track_artist,popularity,uri
67,5Ho1vKl1Uz8bJlk4vbmvmf,AMELIE LENS,2CAWDnsgQ5zIXef4ONWmUK,Syren - Amelie Lens Remix,Anyma,48,spotify:track:2CAWDnsgQ5zIXef4ONWmUK
68,5Ho1vKl1Uz8bJlk4vbmvmf,AMELIE LENS,5fA9xb5xWLwNizZCZRjQUO,Underneath The Strobelights,Amelie Lens,47,spotify:track:5fA9xb5xWLwNizZCZRjQUO
69,5Ho1vKl1Uz8bJlk4vbmvmf,AMELIE LENS,1pjq6HahAijFavvVOVRP3E,Where Do We Go,Charlotte de Witte,50,spotify:track:1pjq6HahAijFavvVOVRP3E
70,5Ho1vKl1Uz8bJlk4vbmvmf,AMELIE LENS,4Elb9ia3RBhTDtJN8qe29k,You and Me,Amelie Lens,51,spotify:track:4Elb9ia3RBhTDtJN8qe29k
71,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,7zGuOKCjKlIdaFh0xREuCY,Big Dreams,Amyl and The Sniffers,47,spotify:track:7zGuOKCjKlIdaFh0xREuCY
72,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,65qpo8Xop4WCkjGX2wjIAy,Chewing Gum,Amyl and The Sniffers,46,spotify:track:65qpo8Xop4WCkjGX2wjIAy
73,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,26EvVb7HxLt5fVXtNRzUEw,Got You,Amyl and The Sniffers,37,spotify:track:26EvVb7HxLt5fVXtNRzUEw
74,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,4M7o0cOEvDFiJ7I8PXJ3bA,Guided By Angels,Amyl and The Sniffers,41,spotify:track:4M7o0cOEvDFiJ7I8PXJ3bA
75,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,4GIeQy7OzftStBoimCWIMU,Hertz,Amyl and The Sniffers,46,spotify:track:4GIeQy7OzftStBoimCWIMU
76,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,6EpWqPWFo6FwLBTQgWWiyy,It's Mine,Amyl and The Sniffers,42,spotify:track:6EpWqPWFo6FwLBTQgWWiyy
77,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,3rZwj7e7m61R5e9Tn3YTFa,Jerkin',Amyl and The Sniffers,52,spotify:track:3rZwj7e7m61R5e9Tn3YTFa
78,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,2MYFQY0BKWPdgqnIYses9T,Security,Amyl and The Sniffers,40,spotify:track:2MYFQY0BKWPdgqnIYses9T
79,3NqV2DJoAWsjl787bWaHW7,AMYL AND THE SNIFFERS,4fWtzgALYlAOeUAKiWDvw2,Tiny Bikini,Amyl and The Sniffers,47,spotify:track:4fWtzgALYlAOeUAKiWDvw2
